Date,CPI_Index,CPI_Infl,Rural_Infl,Urban_Infl,Food_infl,Food_idx,FuelLight_infl,FuelLight_idx,Oils_infl,Oils_idx,Veg_infl,Veg_idx,Transport_infl,Transport_idx,CFPI_infl,CFPI_idx,WPI_All,WPI_All_yoy,WPI_Fuel,WPI_Fuel_yoy,WPI_Primary,WPI_Mfg,USDINR,USDINR_mom,USDINR_yoy,Year,MonthNo
2013-01-01,104.6,,,,,105.6,,105.5,,105.1,,102.2,,103.2,,,108.0,-4.929577464788726,108.9,-9.174311926605505,113.8,105.8,54.31679545454545,-0.6057051618812648,5.7857184699167785,2013,1
2013-02-01,105.3,,,,,106.6,,106.0,,105.5,,103.2,,104.2,,106.4,108.4,-4.577464788732389,109.8,-7.65349032800674,115.2,105.8,53.773715789473684,-0.9998374545608812,9.377396008032491,2013,2
2013-03-01,105.5,,,,,106.9,,106.1,,104.9,,102.2,,105.1,,106.5,108.6,-4.986876640419946,109.8,-7.96311818943839,114.6,106.2,54.40461578947368,1.1732497759128213,8.110814097713327,2013,3
2013-04-01,106.1,,,,,107.7,,106.5,,104.4,,105.5,,104.7,,107.5,108.6,-4.820333041191938,108.0,-7.296137339055797,114.6,106.5,54.375705555555555,-0.05313930352894847,4.966483014793455,2013,4
2013-05-01,106.9,,,,,109.2,,107.4,,103.9,,112.9,,104.0,,109.1,108.6,-5.400696864111499,105.2,-9.46643717728055,116.8,106.4,55.010809090909085,1.1679913462541602,0.9863172904002626,2013,5
2013-06-01,109.3,,,,,112.2,,108.3,,104.2,,126.7,,105.1,,112.4,110.1,-4.4270833333333375,107.9,-6.2554300608166695,120.5,106.8,58.46094761904762,6.271746562456393,4.338254572681688,2013,6
2013-07-01,111.0,,,,,114.7,,109.2,,104.3,,140.0,,107.1,,115.2,111.2,-4.712939160239927,112.0,-4.355251921434666,121.7,107.4,59.790156521739135,2.273669786116206,7.7401945669771655,2013,7
2013-08-01,112.4,,,,,116.6,,109.7,,104.5,,151.8,,108.0,,117.3,112.9,-3.668941979522178,114.2,-2.0583190394511064,125.6,108.1,63.208845,5.717811554846586,13.767248685157373,2013,8
2013-09-01,113.7,,,,,118.3,,110.5,,105.3,,160.9,,109.9,,119.0,114.3,-1.8041237113402109,119.2,3.742384682332456,126.0,109.1,63.75214,0.859523694824671,16.7503668416763,2013,9
2013-10-01,114.8,,,,,120.2,,110.9,,105.7,,171.2,,109.5,,121.1,114.6,-0.865051903114189,117.0,3.9076376554174175,128.4,109.2,61.61555714285714,-3.3513900194453994,16.203301307272298,2013,10
2013-11-01,116.3,,,,,122.6,,111.6,,106.8,,183.1,,109.5,,123.9,114.3,0.17528483786153348,116.2,9.005628517823649,128.4,108.9,62.63295789473684,1.6512075830472872,14.344191884931146,2013,11
2013-12-01,114.5,,,,,118.4,,111.9,,107.3,,145.4,,109.8,,118.7,113.4,1.1596788581623718,118.3,16.781836130306015,123.3,109.0,61.910314285714286,-1.1537753178399335,13.28967366612066,2013,12
2014-01-01,113.6,8.6,8.66,8.56,9.66,115.8,6.35,112.2,1.62,106.8,19.57,122.2,7.27,110.7,,115.6,113.6,2.5270758122743597,119.9,26.87830687830688,121.2,109.5,62.07597272727273,0.26757809820499023,14.285042421584837,2014,1
2014-02-01,113.6,7.88,7.75,8.02,8.16,115.3,6.04,112.4,1.04,106.6,10.95,114.5,6.62,111.1,7.89,114.8,113.6,3.649635036496357,118.9,34.3502824858757,121.1,109.9,62.25401111111111,0.2868072396071675,15.770335371351552,2014,2
2014-03-01,114.2,8.25,8.11,8.29,8.61,116.1,6.03,112.5,1.91,106.9,13.8,116.3,5.99,111.4,8.64,115.7,114.3,4.003639672429471,119.3,29.67391304347826,121.4,110.7,61.01398947368422,-1.991874282949735,12.148553184873956,2014,3
2014-04-01,115.1,8.48,8.46,8.51,9.19,117.6,5.63,112.5,2.78,107.3,14.41,120.7,6.21,111.2,9.21,117.4,114.1,3.539019963702361,116.5,27.60131434830231,121.5,111.0,60.35662352941176,-1.0774020022997877,10.999246653904127,2014,4
2014-05-01,115.8,8.33,8.21,8.44,8.88,118.9,4.75,112.5,3.66,107.7,10.72,125.0,7.02,111.3,8.89,118.8,114.8,3.052064631956908,116.2,21.67539267015708,124.0,111.3,59.305015000000004,-1.7423249809514485,7.806112980440716,2014,5
2014-06-01,116.7,6.77,7.44,6.11,7.31,120.4,4.52,113.2,3.45,107.8,4.26,132.1,6.37,111.8,7.21,120.5,115.2,3.0411449016100267,115.1,19.398340248962654,125.7,111.5,59.730700000000006,0.7177892122613994,2.171966813173376,2014,6
2014-07-01,119.2,7.39,7.95,6.73,8.72,124.7,4.3,113.9,3.45,107.9,12.64,157.7,5.6,113.1,8.85,125.4,116.7,5.040504050405059,117.1,24.84008528784647,130.1,111.8,60.058568181818174,0.5489106637259766,0.4489228255849298,2014,7
2014-08-01,120.3,7.03,7.67,6.39,8.58,126.6,3.92,114.0,3.35,108.0,10.8,168.2,4.44,112.8,8.7,127.5,117.2,6.545454545454543,116.6,33.105022831050235,131.5,112.3,60.89517222222222,1.392980328587523,-3.6603623714019373,2014,8
2014-09-01,120.1,5.63,5.87,5.3,6.34,125.8,3.44,114.3,2.47,107.9,0.75,162.1,1.91,112.0,6.22,126.4,116.4,5.9144676979071775,114.9,34.0723453908985,129.4,112.2,60.86492272727273,-0.04967470136895136,-4.528816244799416,2014,9
2014-10-01,120.1,4.62,4.76,4.47,4.33,125.4,3.43,114.7,2.08,107.9,-8.41,156.8,2.1,111.8,3.88,125.8,115.6,4.995458673932784,112.6,31.542056074766368,127.3,112.1,61.34199411764706,0.7838199228676013,-0.4439836916118711,2014,10
2014-11-01,120.1,3.27,3.15,3.48,2.04,125.1,3.49,115.5,0.94,107.8,-16.77,152.4,1.19,110.8,1.13,125.3,114.1,3.821656050955413,106.6,24.67836257309941,126.5,111.3,61.70417777777777,0.5904334629814656,-1.4828935885800032,2014,11
2014-12-01,119.4,4.28,4.16,4.5,4.39,123.6,3.4,115.7,0.28,107.6,-3.37,140.5,0.27,110.1,3.96,123.4,112.1,2.468007312614251,101.3,19.457547169811317,123.1,110.5,62.752950000000006,1.6996778176014082,1.3610586927357282,2014,12
2015-01-01,119.5,5.19,5.34,4.96,6.3,123.1,3.83,116.5,1.59,108.5,8.84,133.0,-1.17,109.4,6.14,122.7,110.8,2.592592592592591,94.5,18.42105263157896,120.8,110.6,62.225928571428575,-0.8398353042708417,0.2415682551035747,2015,1
2015-02-01,119.7,5.37,5.79,4.95,6.76,123.1,4.72,117.7,2.35,109.1,13.01,129.4,-2.16,108.7,6.88,122.7,109.6,2.334267040149385,88.5,17.218543046357617,120.7,110.1,62.037611111111104,-0.30263503436722683,-0.34760812377819805,2015,2
2015-03-01,120.2,5.25,5.67,4.75,6.29,123.4,5.16,118.3,2.15,109.2,11.09,129.2,-1.35,109.9,6.14,122.8,109.9,2.042711234911798,92.0,20.261437908496728,120.1,110.0,62.44983809523809,0.664479138935059,2.3533105013124223,2015,3
2015-04-01,120.7,4.87,5.29,4.36,5.44,124.0,5.51,118.7,1.77,109.2,6.55,128.6,-0.99,110.1,5.11,123.4,110.2,1.1009174311926717,91.3,16.602809706257982,121.5,110.1,62.75316111111111,0.4857066489274864,3.9706289741862744,2015,4
2015-05-01,121.6,5.01,5.52,4.41,5.13,125.0,5.96,119.2,1.95,109.8,4.72,130.9,0.63,112.0,4.8,124.5,111.4,0.9057971014492683,95.5,17.466174661746624,123.4,110.5,63.800326315789476,1.6687051076586412,7.5799851256921125,2015,5
2015-06-01,123.0,5.4,6.07,4.55,5.73,127.3,5.83,119.8,3.06,111.1,5.3,139.1,0.98,112.9,5.48,127.1,111.8,0.08952551477170445,96.4,13.145539906103298,124.9,110.3,63.860736363636356,0.0946861110832975,6.914428197955735,2015,6
2015-07-01,123.6,3.69,4.35,2.94,2.81,128.2,5.44,120.1,2.78,110.9,-7.99,145.1,-0.35,112.7,2.15,128.1,111.1,-0.6261180679785316,93.8,10.743801652892548,124.3,109.9,63.63497826086956,-0.3535162850006657,5.954870699255355,2015,7
2015-08-01,124.8,3.74,4.47,2.75,2.92,130.3,5.79,120.6,3.15,111.4,-6.3,157.6,-0.98,111.7,2.2,130.3,110.0,-1.0791366906474864,87.6,8.014796547472258,125.4,109.2,65.07233,2.2587447633565017,6.859587756044516,2015,8
2015-09-01,125.4,4.41,5.05,3.61,4.29,131.2,5.34,120.4,3.71,111.9,0.06,162.2,-0.63,111.3,3.88,131.3,109.9,-1.3464991023339312,85.7,3.004807692307687,125.9,109.2,66.21781,1.7603180952641573,8.794699858098598,2015,9
2015-10-01,126.1,5.0,5.54,4.28,5.34,132.1,5.32,120.8,5.0,113.3,2.3,160.4,-0.36,111.4,5.25,132.4,110.1,-1.2556053811659251,85.6,1.1820330969267046,126.4,109.4,65.05800500000001,-1.7515000873631892,6.057857974466985,2015,10
2015-11-01,126.6,5.41,5.95,4.71,6.08,132.7,5.28,121.6,6.59,114.9,3.94,158.4,0.63,111.5,6.07,132.9,109.9,-1.787310098302053,85.5,-2.0618556701030855,127.1,108.8,66.11709444444445,1.6279156491878943,7.151730767014519,2015,11
2015-12-01,126.1,5.61,6.32,4.73,6.31,131.4,5.45,122.0,7.16,115.3,4.41,146.7,1.27,111.5,6.4,131.3,109.4,-2.0590868397493245,84.8,-4.072398190045257,126.7,108.4,66.59551428571429,0.7235947757381123,6.12332055419591,2015,12
2016-01-01,126.3,5.69,6.48,4.81,6.66,131.3,5.32,122.7,6.45,115.5,6.39,141.5,1.55,111.1,6.85,131.1,108.0,-4.085257548845467,79.8,-14.28571428571428,124.3,108.0,67.25233,0.9862762099377864,8.077663996290019,2016,1
2016-02-01,126.0,5.26,6.05,4.3,5.52,129.9,4.59,123.1,5.22,114.8,0.7,130.3,2.48,111.4,5.3,129.2,107.1,-5.221238938053108,75.5,-20.105820105820104,122.1,108.3,68.237665,1.465131393960628,9.994024234402632,2016,2
2016-03-01,126.0,4.83,5.7,3.95,5.19,129.8,3.47,122.4,4.85,114.5,0.46,129.8,0.91,110.9,5.21,129.2,107.7,-4.858657243816255,76.5,-18.26923076923076,123.0,108.8,67.02185,-1.7817359371836705,7.32109488865198,2016,3
2016-04-01,127.3,5.47,6.17,4.68,6.29,131.8,3.03,122.3,5.13,114.8,4.98,135.0,1.82,112.1,6.4,131.3,109.0,-3.7102473498233257,78.3,-14.612868047982552,126.1,109.2,66.46953125,-0.8240875923299584,5.922203874811438,2016,4
2016-05-01,128.6,5.76,6.45,4.89,7.2,134.0,2.94,122.7,4.74,115.0,10.85,145.1,0.71,112.8,7.47,133.8,110.4,-2.214348981399472,81.3,-10.561056105610566,128.8,109.8,66.90673181818183,0.6577458272384318,4.868949238624132,2016,5
2016-06-01,130.1,5.77,6.29,5.26,7.46,136.8,2.92,123.3,3.96,115.5,14.81,159.7,1.15,114.2,7.79,137.0,111.7,-0.8873114463176623,85.2,-4.910714285714279,132.0,110.0,67.29686363636364,0.5830980046103384,5.380657143007639,2016,6
2016-07-01,131.1,6.07,6.66,5.39,7.96,138.4,2.75,123.4,4.96,116.4,13.99,165.4,1.06,113.9,8.35,138.8,111.8,-1.843722563652339,84.7,-4.185520361990958,131.8,110.3,67.207625,-0.13260445070046867,5.614281385442577,2016,7
2016-08-01,131.1,5.05,5.87,4.22,5.83,137.9,2.49,123.6,4.94,116.9,0.95,159.1,1.25,113.1,5.91,138.0,111.2,-3.1358885017421567,81.1,-8.978675645342316,131.4,110.2,66.93964285714286,-0.39873770700442623,2.869595813063497,2016,8
2016-09-01,130.9,4.39,5.04,3.64,4.12,136.6,3.07,124.1,4.74,117.2,-7.09,150.7,2.7,114.3,3.96,136.5,111.4,-3.046127067014792,83.2,-9.466811751904247,130.6,110.4,66.73773,-0.30163420138611396,0.7851664076477194,2016,9
2016-10-01,131.4,4.2,4.78,3.54,3.71,137.0,2.9,124.3,3.97,117.8,-5.74,151.2,3.41,115.2,3.32,136.8,111.5,-3.5467128027681594,84.6,-9.808102345415781,129.1,110.8,66.74768888888889,0.014922426772523423,2.5971959774802267,2016,10
2016-11-01,131.2,3.63,4.13,3.13,2.56,136.1,2.8,125.0,2.7,118.0,-10.42,141.9,3.77,115.7,2.03,135.6,111.9,-3.8659793814432963,87.3,-7.716701902748413,128.8,111.0,67.6256619047619,1.3153609218358397,2.281660246859518,2016,11
2016-12-01,130.4,3.41,3.83,2.9,1.98,134.0,3.77,126.6,2.86,118.6,-14.59,125.3,4.04,116.0,1.37,133.1,111.7,-3.457216940363006,88.4,-7.434554973821983,126.8,111.1,67.90043333333334,0.40631236845918295,1.9594698856451043,2016,12
2017-01-01,130.3,3.17,3.36,2.9,1.37,133.1,3.34,126.8,3.12,119.1,-15.62,119.4,5.31,117.0,0.61,131.9,112.6,-2.931034482758621,93.1,-4.5128205128205146,126.7,111.6,68.08036666666666,0.2649958542237929,1.2312386301956524,2017,1
2017-02-01,130.6,3.65,3.67,3.55,2.39,133.0,3.9,127.9,3.83,119.2,-8.29,119.5,5.39,117.4,2.01,131.8,113.0,-2.67011197243755,94.5,-4.352226720647767,127.0,111.8,67.07544999999999,-1.4760741104508424,-1.7031869422847623,2017,2
2017-03-01,130.9,3.89,3.75,3.96,2.54,133.1,5.47,129.1,3.76,118.8,-7.16,120.5,6.04,117.6,2.01,131.8,113.2,-2.665520206362848,93.6,-4.489795918367356,127.1,112.3,65.87665714285716,-1.787230435491427,-1.708685834758139,2017,3
2017-04-01,131.1,2.99,3.02,3.03,1.29,133.5,6.13,129.8,3.14,118.4,-8.59,123.4,4.01,116.6,0.61,132.1,113.2,-3.4953111679454363,91.7,-7.373737373737366,127.4,112.6,64.50708888888889,-2.078988693974382,-2.9523938625806267,2017,4
2017-05-01,131.4,2.18,2.3,2.13,-0.22,133.7,5.46,129.4,2.7,118.1,-13.44,125.6,3.46,116.7,-1.05,132.4,112.9,-4.564666103127635,90.9,-11.23046875,126.6,112.6,64.42483809523809,-0.12750659666641573,-3.7094828210833097,2017,5
2017-06-01,132.0,1.46,1.52,1.41,-1.17,135.2,4.46,128.8,2.34,118.2,-16.53,133.3,2.01,116.5,-2.12,134.1,112.7,-5.373635600335847,89.6,-14.176245210727977,126.5,112.6,64.44299047619047,0.02817605986926708,-4.240722384320872,2017,6
2017-07-01,134.2,2.36,2.41,2.17,0.43,139.0,4.86,129.4,1.46,118.1,-3.57,159.5,1.84,116.0,-0.36,138.3,113.9,-5.004170141784825,88.4,-15.325670498084287,132.6,112.6,64.45588095238095,0.02000291435146906,-4.094392634197453,2017,7
2017-08-01,135.4,3.28,3.22,3.35,1.96,140.6,5.02,129.8,1.03,118.1,5.97,168.6,3.71,117.3,1.52,140.1,114.8,-4.412989175686921,89.1,-15.061963775023845,135.3,112.8,63.968385,-0.7563250167057833,-4.43871184595932,2017,8
2017-09-01,135.2,3.28,3.15,3.44,1.76,139.0,5.56,131.0,1.02,118.4,3.92,156.6,3.5,118.3,1.25,138.2,114.9,-4.962779156327546,91.9,-14.749536178107602,131.5,113.7,64.44094761904762,0.7387440202650364,-3.4415050990682206,2017,9
2017-10-01,136.1,3.58,3.36,3.81,2.26,140.1,6.36,132.2,1.02,119.0,7.54,162.6,2.26,117.8,1.9,139.4,115.6,-5.245901639344264,93.8,-15.723270440251568,133.9,113.7,65.08128421052632,0.9936796635334311,-2.49657284934095,2017,10
2017-11-01,137.6,4.88,4.79,4.9,4.41,142.1,8.24,135.3,1.02,119.2,22.48,173.8,2.25,118.3,4.35,141.5,116.4,-4.2763157894736725,94.6,-13.44922232387924,136.0,114.0,64.86261363636363,-0.3359960959825714,-4.085798483258474,2017,11
2017-12-01,137.2,5.21,5.27,5.09,4.85,140.5,7.9,136.6,1.6,120.5,29.05,161.7,2.16,118.5,4.96,139.7,115.7,-3.341687552213868,95.5,-7.101167315175094,131.7,114.2,64.24232105263158,-0.9563175902987386,-5.3874652945785195,2017,12
2018-01-01,136.9,5.07,5.21,4.93,4.58,139.2,7.73,136.6,1.34,120.7,26.97,151.6,1.97,119.3,4.7,138.1,116.0,-2.684563758389269,97.5,-1.8126888217522619,129.9,114.9,63.63689545454545,-0.9424092843565268,-6.526802703453727,2018,1
2018-02-01,136.4,4.44,4.45,4.52,3.46,137.6,6.88,136.7,1.01,120.4,17.57,140.5,2.39,120.2,3.26,136.1,116.1,-2.845188284518829,98.8,-1.691542288557213,128.0,115.5,64.37383888888888,1.1580442903123878,-4.027719696418153,2018,2
2018-03-01,136.5,4.28,4.44,4.12,3.08,137.2,5.73,136.5,1.6,120.7,11.7,134.6,2.89,121.0,2.81,135.5,116.3,-3.0025020850709017,98.0,-4.390243902439028,128.2,115.8,65.02133157894737,1.0058320293373724,-1.2983742664036013,2018,3
2018-04-01,137.1,4.58,4.67,4.42,3.0,137.5,5.16,136.5,2.2,121.0,7.46,132.6,4.55,121.9,16.12,153.4,117.3,-3.137902559867878,99.0,-3.696498054474706,130.7,116.3,65.63634736842106,0.9458677245435254,1.750595940668287,2018,4
2018-05-01,137.8,4.87,4.88,4.72,3.29,138.1,5.8,136.9,2.46,121.0,7.96,135.6,5.31,122.9,3.1,136.5,118.3,-2.7138157894736836,102.4,-1.9157088122605415,131.4,116.9,67.53935909090909,2.8993260575673085,4.834348192023175,2018,5
2018-06-01,138.5,4.92,4.93,4.85,3.11,139.4,7.22,138.1,2.62,121.3,7.8,143.7,6.18,123.7,2.91,138.0,119.1,-1.9753086419753152,104.4,2.1526418786692814,132.5,117.3,67.79306666666666,0.3756440380431769,5.198511375281267,2018,6
2018-07-01,139.8,4.17,4.11,4.32,1.73,141.4,7.96,139.7,2.79,121.4,-2.26,155.9,6.55,123.6,1.3,140.1,119.9,-1.154163231657046,104.4,3.7773359840954424,135.3,117.7,68.69335909090908,1.32800073592938,6.5742304284984066,2018,7
2018-08-01,140.4,3.69,3.41,3.99,0.78,141.7,8.55,140.9,3.47,122.2,-7.12,156.6,5.97,124.3,0.29,140.5,120.1,-1.152263374485596,104.9,3.656126482213451,135.2,117.8,69.54651,1.2419699959087094,8.720127919440213,2018,8
2018-09-01,140.2,3.7,3.27,4.31,1.01,140.4,8.63,142.3,3.12,122.1,-4.21,150.0,6.51,126.0,0.51,138.9,120.9,-0.3297609233305798,107.8,7.157057654075549,135.5,118.4,72.21528333333333,3.8373936137605424,12.064279005089862,2018,9
2018-10-01,140.7,3.38,2.82,4.04,-0.14,139.9,8.55,143.5,2.1,121.5,-8.12,149.4,7.72,126.9,-0.86,138.2,122.0,0.0,111.3,8.797653958944274,137.2,118.9,73.63230476190476,1.962218194216181,13.138985585652275,2018,10
2018-11-01,140.8,2.33,1.71,3.12,-1.69,139.7,7.24,145.1,1.59,121.1,-15.59,146.7,6.09,125.5,-2.61,137.8,121.6,-0.5723630417007408,109.3,7.897334649555776,136.8,118.8,71.85423888888889,-2.4147904629162165,10.779129702854862,2018,11
2018-12-01,140.1,2.11,1.5,2.91,-1.64,138.2,4.47,142.7,1.24,122.0,-16.39,135.2,4.3,123.6,-2.65,136.0,119.7,-2.682926829268295,102.8,-0.3875968992248069,133.5,118.3,70.73107,-1.563121266409473,10.10042732119285,2018,12
2019-01-01,139.6,1.97,1.22,2.91,-1.29,137.4,2.12,139.5,0.91,121.8,-13.39,131.3,3.35,123.3,-2.24,135.0,119.2,-3.4035656401944947,99.3,-5.157593123209169,133.8,118.1,70.73286956521738,0.002544235817980578,11.150723271439977,2019,1
2019-02-01,139.9,2.57,1.81,3.43,-0.07,137.5,1.24,138.4,1.33,122.0,-7.69,129.7,3.08,123.9,-0.73,135.1,119.5,-2.209492635024557,100.5,-2.992277992277992,134.1,118.2,71.22176842105263,0.6911904731709884,10.637752308019843,2019,2
2019-03-01,140.4,2.86,1.8,4.1,0.66,138.1,2.34,139.7,1.08,122.0,-1.49,132.6,2.98,124.6,0.3,135.9,119.9,-0.41528239202658357,102.5,3.015075376884413,134.5,118.3,69.47864736842105,-2.4474554497530887,6.855159193505167,2019,3
2019-04-01,141.2,2.99,1.87,4.3,1.38,139.4,2.56,140.0,0.74,121.9,2.87,136.4,2.46,124.9,-10.5,137.3,121.1,1.593959731543615,102.8,14.476614699331858,139.3,118.5,69.42740555555555,-0.07375188609211047,5.775851855154346,2019,4
2019-05-01,142.0,3.05,1.86,4.51,2.03,140.9,2.48,140.3,0.83,122.0,5.46,143.0,1.63,124.9,1.83,139.0,121.6,3.489361702127658,104.4,30.01245330012454,140.3,118.6,69.77312272727272,0.4979549054883403,3.307350952734023,2019,5
2019-06-01,142.9,3.18,2.21,4.33,2.37,142.7,2.24,141.2,0.74,122.2,4.73,150.5,0.73,124.6,2.25,141.1,121.5,1.8440905280804776,102.2,19.392523364486003,141.0,118.5,69.43886315789474,-0.4790663744326351,2.427676711130866,2019,6
